 0.000000000E+00 0.149365551E+01 0.361707416E+01 0.100000000E+01 0.100000000E+01
 0.100000000E+01 0.100000000E+01 0.233046360E-02 0.233046360E-02 0.485124629E-02
 0.485124629E-02
 0.198086093E-02 0.149367235E+01 0.361708061E+01 0.999890701E+00 0.999890701E+00
 0.999772475E+00 0.999772475E+00 0.191450929E+00 0.191450929E+00 0.398583894E+00
 0.398583894E+00
 0.396172186E-02 0.149372045E+01 0.361709959E+01 0.999571337E+00 0.999571337E+00
 0.999107667E+00 0.999107667E+00 0.376291652E+00 0.376291652E+00 0.783676823E+00
 0.783676823E+00
 0.594258279E-02 0.149379568E+01 0.361713107E+01 0.999047653E+00 0.999047653E+00
 0.998017533E+00 0.998017533E+00 0.554826762E+00 0.554826762E+00 0.115615578E+01
 0.115615578E+01
 0.792344371E-02 0.149389132E+01 0.361717507E+01 0.998329138E+00 0.998329138E+00
 0.996521825E+00 0.996521825E+00 0.723543728E+00 0.723543728E+00 0.150890760E+01
 0.150890760E+01
 0.990430464E-02 0.149399831E+01 0.361723155E+01 0.997428843E+00 0.997428843E+00
 0.994647711E+00 0.994647711E+00 0.879528762E+00 0.879528762E+00 0.183600398E+01
 0.183600398E+01
 0.118851656E-01 0.149410558E+01 0.361730050E+01 0.996363115E+00 0.996363115E+00
 0.992429222E+00 0.992429222E+00 0.101998660E+01 0.101998660E+01 0.213168737E+01
 0.213168737E+01
 0.138660265E-01 0.149420042E+01 0.361738189E+01 0.995151261E+00 0.995151261E+00
 0.989906548E+00 0.989906548E+00 0.114245167E+01 0.114245167E+01 0.239080249E+01
 0.239080249E+01
 0.158468874E-01 0.149426906E+01 0.361747569E+01 0.993815130E+00 0.993815130E+00
 0.987125169E+00 0.987125169E+00 0.124481812E+01 0.124481812E+01 0.260885689E+01
 0.260885689E+01
 0.178277484E-01 0.149429727E+01 0.361758184E+01 0.992378614E+00 0.992378614E+00
 0.984134823E+00 0.984134823E+00 0.132542292E+01 0.132542292E+01 0.278219949E+01
 0.278219949E+01
 0.198086093E-01 0.149427104E+01 0.361770030E+01 0.990867080E+00 0.990867080E+00
 0.980988314E+00 0.980988314E+00 0.138311926E+01 0.138311926E+01 0.290818616E+01
 0.290818616E+01
 0.217894702E-01 0.149417742E+01 0.361783102E+01 0.989306713E+00 0.989306713E+00
 0.977740153E+00 0.977740153E+00 0.141735677E+01 0.141735677E+01 0.298536690E+01
 0.298536690E+01
 0.237703311E-01 0.149400539E+01 0.361797393E+01 0.987723791E+00 0.987723791E+00
 0.974445038E+00 0.974445038E+00 0.142826355E+01 0.142826355E+01 0.301368295E+01
 0.301368295E+01
 0.257511921E-01 0.149374690E+01 0.361812897E+01 0.986143868E+00 0.986143868E+00
 0.971156166E+00 0.971156166E+00 0.141673043E+01 0.141673043E+01 0.299467350E+01
 0.299467350E+01
 0.277320530E-01 0.149339794E+01 0.361829606E+01 0.984590891E+00 0.984590891E+00
 0.967923385E+00 0.967923385E+00 0.138449621E+01 0.138449621E+01 0.293168739E+01
 0.293168739E+01
 0.297129139E-01 0.149295977E+01 0.361847512E+01 0.983086226E+00 0.983086226E+00
 0.964791175E+00 0.964791175E+00 0.133423270E+01 0.133423270E+01 0.283009436E+01
 0.283009436E+01
 0.316937749E-01 0.149244016E+01 0.361866607E+01 0.981647613E+00 0.981647613E+00
 0.961796464E+00 0.961796464E+00 0.126962960E+01 0.126962960E+01 0.269749405E+01
 0.269749405E+01
 0.336746358E-01 0.149185484E+01 0.361886880E+01 0.980288035E+00 0.980288035E+00
 0.958966277E+00 0.958966277E+00 0.119547331E+01 0.119547331E+01 0.254390689E+01
 0.254390689E+01
 0.356554967E-01 0.149122896E+01 0.361908322E+01 0.979014508E+00 0.979014508E+00
